id;available;name;vendor;vendorCode;url;price;currencyId;categoryId;manufacturer_warranty;delivery;description;picture;barcode;outlets;cartons_dimensions;priceWB;discountWB;Stock;brand_name;style_name;collection_name;series_name;Гарантия;УчастникТВПрограммы;ДваВОдном;ТипПотолочногоКрепления;Технологии;Типы помещении;Напряжение;КодТНВЭД;КлассЭлектрозащиты;ingress_protection_rating;ЦветАрматуры;МатериалАрматуры;ЦветХрусталя;Диаметр;Длина;Ширина;Высота;МинимальнаяВысота;ФормаМонтажногоОтверстияВстраиваемогоСветильника;ТипМонтажаВстраиваемогоСветильника;ДиаметрМонтажногоОтверстияВстраиваемогоСветильника;ГлубинаМонтажногоОтверстияВстраиваемогоСветильника;ШиринаМонтажногоОтверстияВстраиваемогоСветильника;ДлинаМонтажногоОтверстияВстраиваемогоСветильника;Цепь;ДлинаЦепи;Чаша крепления;ФормаЧашиКрепления;ШиринаЧашиКрепления;ДлинаЧашиКрепления;ДиаметрЧашиКрепления;ВысотаЧашиКрепления;ФормаАбажура;ТипКрепленияАбажура;МатериалАбажура;ЦветАбажура;ВысотаАбажура;ШиринаАбажура;ДлинаАбажура;lampshade_top_diameter;НижнийДиаметрАбажура;ВерхняяШиринаАбажура;НижняяШиринаАбажура;ВерхняяДлинаАбажура;НижняяДлинаАбажура;ДиаметрАбажура;РадиусАбажура;lamp_is_led;ЛампыВКомплекте;Цоколь;КоличествоЛамп;Мощность;СветовойПоток;УголРассеивания;ИндексЦветопередачи;ЦветоваяТемпература;АналогЛампыНакаливания;Фото1;Фото2;Фото3;Фото4;Фото5;Фото6;Фото7;Фото8;Категория;ВесНетто;ВесБрутто;Страна происхождения;ТипСветодиодов;ЦветовойКод;ЭтоНовинка;СтатусRu_Ru;Видео1;Видео2;Видео3;IES;3D-модель;Маркер;Описание для каталога;Полное наименование;cartons;ЦветоваяТемператураМин;ЦветоваяТемператураМакс
FR5186WL-01BS;true;Настенный светильник (бра) Freya FR5186WL-01BS;Freya;FR5186WL-01BS;https://freya-light.com/i/FR5186WL-01BS;4590;RUB;006;true;true;;;4251110045641;;180/185/220;6288;;32;Freya;-;Modern;Lino;1;Нет;Нет;Планка;;;AC 220-240;9405190032;Class1;IP 20;Латунь;Металл;;;240;160;255;255;;;;;;;;;IP 20;;;;;;Цилиндр;B;Текстиль на ПВХ;Белый;120;;;160;160;;;;;;;Нет;Нет;E14;1;40;;;;;;https://mais-upload.maytoni.de/Photo/b9d5fa26-35a0-11ec-a8a8-00505601443c/s/FR5186WL-01BS_on_w.jpeg;https://mais-upload.maytoni.de/Photo/b9d5fa26-35a0-11ec-a8a8-00505601443c/s/FR5186WL-01BS_on_w_(1).jpeg;https://mais-upload.maytoni.de/Photo/b9d5fa26-35a0-11ec-a8a8-00505601443c/s/element_FR5186WL-01BS_w.jpeg;;;;;;Настенный светильник (бра);0,59;0,87;КИТАЙ;;;Нет;Матрица;;;;;;Нет;"Металлическая арматура. Цвет – латунь. Тканевые абажуры белого оттенка. Декор – прозрачные акриловые трубки. Трендовая комбинация фактур и материалов. Широкий ассортимент. Торшер и подвес с цоколем Е27, лампа, бра и люстры – Е14.";"";1;;
FR5257PL-L32CH;true;Подвесной светильник Freya FR5257PL-L32CH;Freya;FR5257PL-L32CH;https://freya-light.com/i/FR5257PL-L32CH;33490;RUB;002;true;true;;;4099776052494;;150/910/910;45881;;19;Freya;-;Modern;Tier;3;Нет;Нет;Планка;;;AC 220-240;9405110039;Class1;IP 20;Хром;Металл и Стекло;;800;800;800;1500;300;;;;;;;Да;1500;IP 20;;150;150;150;50;;;;;;;;;;;;;;;;Да;Нет;LED;;30;2400;120;80;;;https://mais-upload.maytoni.de/Photo/e06e8dc9-4b82-4ced-95a4-952d6475bec7/0026standard/PHOTO_Main_Image_FR5257PL-L32CH_standard.jpeg;https://mais-upload.maytoni.de/Photo/c6e81583-d2f8-4475-8a75-0019c01b7666/0032standard/PHOTO_Mounting_components_FR5257PL-L32CH_standard_(1).jpeg;https://mais-upload.maytoni.de/Photo/5d461107-e7a7-4c12-ab5b-35f1a8a730ed/0009standard/PHOTO_element_FR5257PL-L32CH_w_standard.jpeg;;;;;;Подвесной светильник;6;6,6;КИТАЙ;;;Да;Новинка;;;;;;Нет;"Металлическая арматура в цвете латунь и хром. Хрустальные декоративные кольца с геометричными гранями. LED-источник света. Регулировка цветовой температуры (3000-4000-5000K) и яркости 4G-dimming при помощи пульта (в комплекте).";"";1;3000;6000
O574WL-01GR;true;Настенный светильник (бра) Outdoor O574WL-01GR;Outdoor;O574WL-01GR;https://maytoni.ru/i/O574WL-01GR;1990;RUB;006;true;true;;;4099776021353;;120/72/150;2726;;139;Outdoor;Maytoni Outdoor;Outdoor;Bowery;;Нет;Нет;;;;AC 100-240;9405420032;Class1;IP 54;Серый;Алюминий;;64;;115;144;;;;;;;;;;IP 54;;;;;;;;;;;;;;;;;;;;;Нет;Нет;GU10;1;50;;;;;;https://mais-upload.maytoni.de/Photo/cd91f7cc-86ef-43ed-8e1f-0d662f035a1d/007standard/O574WL-01GR_on_w_standard_(2).jpeg;https://mais-upload.maytoni.de/Photo/1026829e-cf1a-463f-8a7c-f6001d1b74f2/026standard/RENDER_Main_Image_O574WL-01GR_standard.jpeg;;;;;;;Настенный светильник (бра);0,32;0,37;КИТАЙ;;;Нет;Матрица;;;;;https://mais-upload.maytoni.de/Documents/79e41fc6-194d-4af1-af13-03c1e211af21/007/O574WL-01GR_0_007_0.zip;Нет;"Металлический корпус, порошковое окрашивание. Оттенки — белый, серый, черный, черный с латунью. Герметичное защитное стекло. В серии — модели с одно- и двунаправленным светом. Защита от пыли и влаги — IP 54. Устойчивость к коррозии и перепадам температур. Источник света — лампа с цоколем GU10";"";1;;
TR127B-12W3K-W;true;Подвесной светильник Technical TR127B-12W3K-W;Technical;TR127B-12W3K-W;https://maytoni.ru/i/TR127B-12W3K-W;8590;RUB;002;true;true;;;4099776075240;;130/350/350;11768;;31;Technical;Maytoni Technical;Pendant system Parity ;Campana;3;Нет;Нет;;;;DC 48;9405110039;Class3;IP 20;Белый;Алюминий;;300;;;71;;;;;;;;;;IP 20;;;;;;;;;;;;;;;;;;;;;Да;Нет;LED;;12;860;120;90;3000;;https://mais-upload.maytoni.de/Photo/35c4fe6c-5875-4df3-9f4c-62a64b1120f0/007standard/RENDER_TR127B-12W3K-W_on_w_standard.jpeg;https://mais-upload.maytoni.de/Photo/a38a1506-4f06-4fc2-a097-3ad7dd26952e/009standard/RENDER_element_TR127B-12W3K-W_w_standard.jpeg;;https://mais-upload.maytoni.de/Photo/1d723cc3-4512-45ba-b3b6-ce2c2256066c/026standard/RENDER_Main_Image_TR127B-12W3K-W_standard.jpeg;https://mais-upload.maytoni.de/Photo/4dc55922-c788-4f70-af75-4af52f315bd9/027standard/RENDER_Additional_perspective_TR127B-12W3K-W_standard.jpeg;https://mais-upload.maytoni.de/Photo/e998f238-1c79-4598-8ee4-069a00f5eef8/030standard/How_it_shines_TR127B-12W3K-W_standard.jpeg;https://mais-upload.maytoni.de/Photo/39756fa1-5375-4f39-8684-613f78e66b2c/031standard/RENDER_Technical_Feature_TR127B-12W3K-W_standard.jpeg;https://mais-upload.maytoni.de/Photo/aefbc923-c748-422e-8704-0a16dd5b999d/032standard/RENDER_Mounting_components_TR127B-12W3K-W_standard.jpeg;Подвесной светильник;0,64;1,07;КИТАЙ;;;Да;Новинка;;;;;https://mais-upload.maytoni.de/Documents/1daeca4e-4d0a-4b7a-9e1b-48c43dec1120/007/TR127B-12W3K-W_0_007_0.zip;Нет;"";"";1;;
8454;true;Лампочка Voltega 8454;Voltega;8454;https://maytoni.ru/i/8454;210;RUB;020;true;true;;;4099776095910;;50/45/90;256;;417;Voltega;;Simple;Globe 10W;2;Нет;Нет;;;;AC 180-260;8539520003;Class2;IP 20;Матовый;Пластик;;45;45;45;80;76;;;;;;;;;IP 20;;;;;;;;;;;;;;;;;;;;;Да;Нет;E14;;10;930;180;80;4000;100;https://mais-upload.maytoni.de/Photo/90d7feca-50cd-4495-a2f6-7bb40fe0faa0/007standard/8454_on_w_standard_(1).jpeg;https://mais-upload.maytoni.de/Photo/f6dd8c31-3a43-4d79-8eaa-511d24cada71/007standard/8454_on_w_standard_(2).jpeg;https://mais-upload.maytoni.de/Photo/d0494000-2ade-476f-ad8e-10e3f67422e8/007standard/8454_on_w_standard_(3).jpeg;https://mais-upload.maytoni.de/Photo/80091bcf-5a31-4820-b3db-62b7dbd67462/026standard/Main_Image_8454_standard.jpeg;;;;;Лампочка;0,03;0,04;КИТАЙ;;;Нет;Матрица;;;;;;Нет;"";"";1;4000;
TRA034ICL-41B;false;Комплектующие для накладной трековой системы Technical TRA034ICL-41B;Technical;TRA034ICL-41B;https://maytoni.ru/i/TRA034ICL-41B;990;RUB;064;true;true;;;4099776001836;;110/35/110;1356;;0;Technical;Maytoni Technical;Magnetic track system Exility;Accessories for tracks Exility;2;Нет;Нет;;;;;7616999008;Class3;IP 20;Черный;Алюминий;;;100;100;52;;;;;;;;;;IP 20;;;;;;;;;;;;;;;;;;;;;Нет;Нет;;;;;;;;;https://mais-upload.maytoni.de/Photo/84c62ed4-ab66-455f-b570-addce19d3ce8/007standard/RENDER_TRA034ICL-41B_on_w_standard.jpeg;;https://mais-upload.maytoni.de/Photo/95a8721d-0381-499c-a617-651036340b70/026standard/RENDER_Main_Image_TRA034ICL-41B_standard.jpeg;https://mais-upload.maytoni.de/Photo/1a9b13cd-4bfe-45aa-9680-81b46d5bd1e8/027standard/RENDER_Additional_perspective_TRA034ICL-41B_standard.jpeg;https://mais-upload.maytoni.de/Photo/43330576-ce9d-4c17-bd80-ce5bb8237a53/032standard/RENDER_Mounting_components_TRA034ICL-41B_standard.jpeg;https://mais-upload.maytoni.de/Photo/75e8044c-6ba1-42e4-bfbb-eed17b9f1d4e/034standard/Image_photo_TRA034ICL-41B_standard.jpeg;https://mais-upload.maytoni.de/Photo/6b31eed7-0275-4305-9615-4fdb9c717ffa/037standard/RENDER_Photo_w_alpha_TRA034ICL-41B_standard.jpeg;;Комплектующие для накладной трековой системы;0,091;0,151;КИТАЙ;;;Нет;Матрица;;;;;https://mais-upload.maytoni.de/Documents/090189a8-d9cc-4add-8008-4d60caf43922/007/TRA034ICL-41B.rar;Нет;"Материал корпуса - алюминий, порошковое окрашивание, цвет - графит. Уникальная форма корпуса. Два размера - 350мм  и 650мм. Предназначен для организации основного освещения.  LED-источник света. Цветовая температура 3000К.  Степень защиты от пыли и влаги - IP 54.";"Коннектор внутренний Exility накладной черный";1;;
MOD147FL-L20BSK1;true;Напольный светильник (торшер) Maytoni MOD147FL-L20BSK1;Maytoni;MOD147FL-L20BSK1;https://maytoni.ru/i/MOD147FL-L20BSK1;15990;RUB;004;true;true;;;4099776007456;;155/165/1500;21906;;142;Maytoni;Maytoni Modern;Modern;Flow;3;Нет;Нет;;;;AC 185-265;9405210039;Class2;IP 20;Латунь;Металл;;16;;;1450;;;;;;;;;;IP 20;;;;;;;;;Латунь;;;;;;;;;;;;Да;Нет;LED;1;25;2600;120;80;;;https://mais-upload.maytoni.de/Photo/4f5ac868-bb14-486d-8dd0-cc2c435edc23/007standard/MOD147FL-L20BSK1_on_w_standard.jpeg;https://mais-upload.maytoni.de/Photo/d90df7fc-fe6f-429e-a6d9-ec93f0e15e07/026standard/Main_Image_MOD147FL-L20BSK1_standard_(1).jpeg;https://mais-upload.maytoni.de/Photo/45649bd2-bd38-47bc-8d80-e683fbcc0765/020standard/MOD147FL-L20BSK1_blueprint_standard_(2).jpeg;;;;;;Напольный светильник (торшер);2,135;2,57;КИТАЙ;;;Нет;Матрица;;;;;https://mais-upload.maytoni.de/Documents/b304ff6a-4685-4c58-80d7-3d6d022718dc/007/MOD147FL-L20BSK1.rar;Нет;"Арматура из металла. Цвета — матовый черный, латунь. Управление через приложение Maytoni Home или push-кнопку. Функция диммирования и регулировка цветовой температуры (3000К-6000К). LED-источник света.";"";1;3000;6000
10113;true;Светодиодная лента Led Strip 10113;Led Strip;10113;https://maytoni.ru/i/10113;620;RUB;049;true;true;;;4251110037660;;236/213/12;849;;6405;Led Strip;;Led strip;Светодиодная лента 12В;3;Нет;Нет;;;;DC 12;8539908009;Class3;IP 65;Белый;Медь;;;5000;8;1,3;;;;;;;;;;IP 65;;;;;;;;;;;;;;;;;;;;;Да;Нет;LED;;9,6;1000;120;80;6000;;https://mais-upload.maytoni.de/Photo/c16a6add-e866-11eb-86a9-6cb31107bb86/s/10113_on_w.jpeg;https://mais-upload.maytoni.de/Photo/bae7c982-98a8-421a-8c54-70fabd4d3f05/026standard/_standard.jpeg;https://mais-upload.maytoni.de/Photo/961a0fc3-8fba-4e06-9576-42caa4521141/009standard/element_10113_w_standard_(2).jpeg;https://mais-upload.maytoni.de/Photo/a4ef5955-5ffe-4d5d-bc98-c6575e98bc82/009standard/element_10113_w_standard.jpeg;https://mais-upload.maytoni.de/Photo/eb503ae0-28a2-4a5e-aeb5-2865f2338bd9/009standard/element_10113_w_standard_(1).jpeg;https://mais-upload.maytoni.de/Photo/18890ea8-3da0-47c4-853b-bd1faf6d6afd/003standard/interior_10113_standard.jpeg;https://mais-upload.maytoni.de/Photo/44c10a82-772b-4610-b5c6-e77e2df51e13/036standard/Interio_ for_the_site_10113_standard.jpeg;;Светодиодная лента;0,164;0,182;КИТАЙ;2835;Монохром;Да;Новинка;https://mais-upload.maytoni.de/Documents/2e034735-43f0-436a-b446-48feb56eed73/030/10113_0_030_0.mp4;;;https://mais-upload.maytoni.de/Documents/15d9eb30-936e-4f09-8004-5c93bb9d7adc/o/ies_10113.ies;;Нет;"Светодиодная лента – современный и популярный источник освещения. SMD-светодиоды потребляют мало электроэнергии (в 8 раз меньше, чем лампы накаливания), при этом обладают высокой светоотдачей и минимальным нагревом. С их помощью можно организовать как декоративную подсветку, так и полноценное освещение в квартире и доме. Компания Maytoni предлагает широкий выбор светодиодных лент на 12В и 24В. Все необходимые комплектующие – блоки питания, контроллеры, профиль и коннекторы – также представлены в ассортименте.";"Светодиодная лента 12В 2835 9,6Вт/м 6000K 5м IP65";1;6000;
P088PL-GX53-B;true;Подвесной светильник Technical P088PL-GX53-B;Technical;P088PL-GX53-B;https://maytoni.ru/i/P088PL-GX53-B;1650;RUB;002;true;true;;;4099776073901;;160/90/90;2261;;25;Technical;Maytoni Technical;Pendant;Polar;2;Нет;Нет;Накладной;;;AC 220-240;9405110033;Class2;IP 20;Черный;Алюминий и пластик;;82;;;1085;110;;Накладной;;;;;;;IP 20;;;;;;;;;;;;;;;;;;;;;Нет;Нет;GX53;1;15;;;;;;https://mais-upload.maytoni.de/Photo/d309d6b8-30f3-4fd8-801c-7f7a372e3a28/s/PHOTO_P088PL-GX53-B_on_w_standard.jpeg;https://mais-upload.maytoni.de/Photo/305aac97-8384-4bd1-a4f7-50a7ff5040aa/007standard/RENDER_P088PL-GX53-B_on_w_standard.jpeg;https://mais-upload.maytoni.de/Photo/278f0ea2-204c-49cd-9e24-f6e7d1370c9a/009standard/RENDER_element_P088PL-GX53-B_w_standard.jpeg;;https://mais-upload.maytoni.de/Photo/6551f5d3-0ea3-4b73-bdb9-14a9f129b7db/026standard/RENDER_Main_Image_P088PL-GX53-B_standard.jpeg;https://mais-upload.maytoni.de/Photo/9e4c1949-a0b4-4743-a1f6-19d6e3a162f2/027standard/RENDER_Additional_perspective_P088PL-GX53-B_standard.jpeg;https://mais-upload.maytoni.de/Photo/165a493b-3c19-404a-aedc-847039be8d01/030standard/How_it_shines_P088PL-GX53-B_standard.jpeg;https://mais-upload.maytoni.de/Photo/d4887843-541d-4eea-a05f-b9c0803f5835/032standard/RENDER_Mounting_components_P088PL-GX53-B_standard.jpeg;Подвесной светильник;0,26;0,31;КИТАЙ;;;Да;Новинка;;;;;https://mais-upload.maytoni.de/Documents/92e049a0-6d95-4ad6-82d8-86aa0afd9025/007/P088PL-GX53-B_0_007_0.zip;Нет;"";"";1;;
TR041-2-12W3K-W;true;Трековый подвесной светильник Technical TR041-2-12W3K-W;Technical;TR041-2-12W3K-W;https://maytoni.ru/i/TR041-2-12W3K-W;3990;RUB;056;true;true;;;4099776044307;;75/75/250;5466;;19;Technical;Maytoni Technical;Magnetic track system Exility;Focus LED;3;Нет;Нет;;;;DC 48;9405110039;Class2;IP 20;Белый;Алюминий;;52;200;193;1220;;;;;;;;;;IP 20;;;;;;;;;;;;;;;;;;;;;Да;Нет;LED;;12;1040;36;90;3000;;https://mais-upload.maytoni.de/Photo/8f90582a-e473-4bce-8631-20e1abba601d/007standard/RENDER_TR041-2-12W3K-W_on_w_standard_(1).jpeg;https://mais-upload.maytoni.de/Photo/2011edc1-324b-4cbc-8bf4-ef9849f9c044/009standard/RENDER_element_TR041-2-12W3K-W_w_standard.jpeg;https://mais-upload.maytoni.de/Photo/1c0387bb-5099-4a5c-b54a-848738c752a3/026standard/RENDER_Main_Image_TR041-2-12W3K-W_standard_(1).jpeg;https://mais-upload.maytoni.de/Photo/a966486e-1a0b-4dbd-8d42-a07b90d5add0/027standard/RENDER_Additional_perspective_TR041-2-12W3K-W_standard.jpeg;https://mais-upload.maytoni.de/Photo/6557a02f-f0b5-4783-ad56-2db783726baa/030standard/How_it_shines_TR041-2-12W3K-W_standard.jpeg;https://mais-upload.maytoni.de/Photo/9b45fb29-c73f-411a-8807-5c4c74f6d61e/035standard/how_shines_under_the_site_TR041-2-12W3K-W_standard.jpeg;;https://mais-upload.maytoni.de/Photo/979a7297-ad87-41a6-9e4b-cabd450a5c47/053standard/Sheme_web_TR041-2-12W3K-W_standard.jpeg;Трековый подвесной светильник;0,34;0,42;КИТАЙ;;;Да;Новинка;;;;https://mais-upload.maytoni.de/Documents/0b8c151e-283d-4cb2-8023-5ff147d09a9d/o/ies_TR041-2-12W3K-W.ies;https://mais-upload.maytoni.de/Documents/a6f7d828-57b8-4e41-87b1-dc595e420fe8/007/TR041-2-12W3K-W_0_007_0.rar;Нет;"Корпус из металла в белом, черном и цвете латунь. Направленный свет для акцентной подсветки. LED-источник света утоплен в корпусе. Цветовая температура 3000K, 4000К, а также умные модели с регулировкой цветовой температуры от 3000K до 6000K и диммированием по протоколу Bluetooth Mesh. Это позволяет управлять группой или отдельным светильником: вкл/выкл, диммировать, изменять цветовую температуру. Также доступно беспроводное управление светом со смартфона, пульта, с помощью голосовых помощников. Утопленный источник света обеспечивает визуальный комфорт для глаз, а антибликовый фильтр HoneyComb-D38 - низкий коэффициент слепимости. Совместимы с дополнительными аксессуарами (приобретаются отдельно): сменные линзы с углом рассеивания 15, 24, 50 градусов; декоративные кольца в двух цветах; матовые рассеиватели.";"";1;;
