"Внутренний идентификатор";"Название товара";"Тип товара";"Код товара";Артикул;Бренд;МРЦ;"МРЦ старая";"Оптовая цена Тариф 2";"Суммарное количество";Акция
882252;"Накладной светильник Denkirs DK2001-BK";"Накладной светильник";427045;DK2001-BK;Denkirs;4083;;2450.00;2;Нет
882255;"Накладной светильник Denkirs DK2003-WH";"Накладной светильник";427048;DK2003-WH;Denkirs;1990;3583;1434.00;68;Нет
882256;"Накладной светильник Denkirs DK2003-BK";"Накладной светильник";427049;DK2003-BK;Denkirs;3583;;2150.00;5;Нет
882260;"Накладной светильник Denkirs DK2006-WH";"Накладной светильник";427053;DK2006-WH;Denkirs;3499;4916;2950.00;4;Нет
882261;"Влагозащищенный светильник Denkirs DK3007-WH";"Влагозащищенный светильник";427054;DK3007-WH;Denkirs;3899;;2159.00;229;Нет
882262;"Накладной светильник Denkirs DK2008-WH";"Накладной светильник";427055;DK2008-WH;Denkirs;790;;318.00;1532;Нет
882263;"Накладной светильник Denkirs DK2008-BK";"Накладной светильник";427056;DK2008-BK;Denkirs;790;;318.00;897;Нет
882264;"Влагозащищенный светильник Denkirs DK3007-BK";"Влагозащищенный светильник";427057;DK3007-BK;Denkirs;3899;;2159.00;14;Нет
882270;"Накладной светильник Denkirs DK2011-WH";"Накладной светильник";427063;DK2011-WH;Denkirs;1200;2833;1700.00;2;Нет
882272;"Влагозащищенный светильник Denkirs DK3012-AL";"Влагозащищенный светильник";427065;DK3012-AL;Denkirs;2510;;1386.00;6;Нет
882273;"Влагозащищенный светильник Denkirs DK3012-WH";"Влагозащищенный светильник";427066;DK3012-WH;Denkirs;2510;;1386.00;1;Нет
882274;"Влагозащищенный светильник Denkirs DK3012-BK";"Влагозащищенный светильник";427067;DK3012-BK;Denkirs;2510;;1386.00;12;Нет
882275;"Влагозащищенный светильник Denkirs DK3013-AL";"Влагозащищенный светильник";427068;DK3013-AL;Denkirs;2658;2958;1386.00;89;Нет
882276;"Влагозащищенный светильник Denkirs DK3014-WH";"Влагозащищенный светильник";427069;DK3014-WH;Denkirs;2958;;1637.00;20;Нет
882277;"Влагозащищенный светильник Denkirs DK3015-BK";"Влагозащищенный светильник";427070;DK3015-BK;Denkirs;2958;;1637.00;4;Нет
882278;"Встраиваемый светильник Denkirs DK2016-BK";"Встраиваемый светильник";427071;DK2016-BK;Denkirs;1333;;800.00;1;Нет
882281;"Встраиваемый светильник Denkirs DK2017-WH";"Встраиваемый светильник";427074;DK2017-WH;Denkirs;1499;;899.00;1;Нет
882282;"Встраиваемый светильник Denkirs DK2018-BK";"Встраиваемый светильник";427075;DK2018-BK;Denkirs;749;2499;1499.00;1;Нет
882285;"Встраиваемый светильник Denkirs DK2019-WH";"Встраиваемый светильник";427078;DK2019-WH;Denkirs;1916;;1150.00;1;Нет
882297;"Светильник настенный Denkirs DK9025-WH";"Светильник настенный";427090;DK9025-WH;Denkirs;799;2666;1600.00;1;Нет
882298;"Встраиваемый светильник Denkirs DK2026-WH";"Встраиваемый светильник";427091;DK2026-WH;Denkirs;1890;2199;1259.00;651;Нет
882299;"Встраиваемый светильник Denkirs DK2026-BK";"Встраиваемый светильник";427092;DK2026-BK;Denkirs;525;2199;1049.00;2;Нет
882305;"Подсветка ступеней лестницы Denkirs DK1015-BK";"Подсветка ступеней лестницы";428038;DK1015-BK;Denkirs;1999;;1199.00;2;Нет
885130;"Подсветка ступеней лестницы Denkirs DK1011-DG";"Подсветка ступеней лестницы";428032;DK1011-DG;Denkirs;1340;1916;1150.00;6;Нет
885133;"Подсветка ступеней лестницы Denkirs DK1013-DG";"Подсветка ступеней лестницы";428035;DK1013-DG;Denkirs;1580;1833;1100.00;1;Нет
910788;"Накладной светильник Denkirs DK2029-WH";"Накладной светильник";457489;DK2029-WH;Denkirs;1490;;654.00;1516;Нет
910789;"Накладной светильник Denkirs DK2029-BK";"Накладной светильник";457490;DK2029-BK;Denkirs;1490;;654.00;1331;Нет
910793;"Встраиваемый светильник Denkirs DK2025-BK";"Встраиваемый светильник";457498;DK2025-BK;Denkirs;1666;;1000.00;1;Нет
910794;"Накладной светильник Denkirs DK2027-WH";"Накладной светильник";457499;DK2027-WH;Denkirs;1290;2916;1750.00;12;Нет
913000;"Встраиваемый светильник Denkirs DK2030-WH";"Встраиваемый светильник";457491;DK2030-WH;Denkirs;1080;1310;719.00;534;Нет
913001;"Встраиваемый светильник Denkirs DK2030-BK";"Встраиваемый светильник";457492;DK2030-BK;Denkirs;1010;1310;719.00;141;Нет
913002;"Встраиваемый светильник Denkirs DK2031-WH";"Встраиваемый светильник";457493;DK2031-WH;Denkirs;960;1266;700.00;443;Нет
913003;"Встраиваемый светильник Denkirs DK2031-BK";"Встраиваемый светильник";457494;DK2031-BK;Denkirs;1266;;700.00;50;Нет
921483;"Накладной светильник Denkirs DK2009-YE";"Накладной светильник";500602;DK2009-YE;Denkirs;990;2499;1499.00;1;Нет
921485;"Накладной светильник Denkirs DK2027-YE";"Накладной светильник";500604;DK2027-YE;Denkirs;874;2916;1750.00;1;Нет
921492;"Накладной светильник Denkirs DK2027-OR";"Накладной светильник";500614;DK2027-OR;Denkirs;874;2916;1750.00;1;Нет
921494;"Встраиваемый светильник Denkirs DK2026-OR";"Встраиваемый светильник";500619;DK2026-OR;Denkirs;1749;;1049.00;1;Нет
921496;"Накладной светильник Denkirs DK2006-RE";"Накладной светильник";500621;DK2006-RE;Denkirs;1499;4916;2950.00;1;Нет
921499;"Накладной светильник Denkirs DK2027-RE";"Накладной светильник";500624;DK2027-RE;Denkirs;874;2916;1750.00;0;Нет
921505;"Накладной светильник Denkirs DK2011-CO";"Накладной светильник";500633;DK2011-CO;Denkirs;990;2833;1700.00;1;Нет
921511;"Накладной светильник Denkirs DK2009-CH";"Накладной светильник";500642;DK2009-CH;Denkirs;990;2499;1499.00;5;Нет
921512;"Накладной светильник Denkirs DK2011-CH";"Накладной светильник";500643;DK2011-CH;Denkirs;990;2833;1700.00;1;Нет
921517;"Встраиваемый светильник Denkirs DK2031-YE";"Встраиваемый светильник";500607;DK2031-YE;Denkirs;349;1166;700.00;1;Нет
921518;"Накладной светильник Denkirs DK3010-YE";"Накладной светильник";500608;DK3010-YE;Denkirs;700;2833;1700.00;1;Нет
921528;"Встраиваемый светильник Denkirs DK2030-CH";"Встраиваемый светильник";500646;DK2030-CH;Denkirs;1310;;719.00;6;Нет
921530;"Накладной светильник Denkirs DK3010-CH";"Накладной светильник";500648;DK3010-CH;Denkirs;700;2833;1700.00;2;Нет
921554;"Встраиваемый светильник Denkirs DK4000-WH";"Встраиваемый светильник";475097;DK4000-WH;Denkirs;1833;;1100.00;1;Нет
921559;"Встраиваемый светильник Denkirs DK4006-GD";"Встраиваемый светильник";475102;DK4006-GD;Denkirs;1233;2333;1400.00;11;Нет
927201;"Накладной светильник Denkirs DK5002-CE";"Накладной светильник";476802;DK5002-CE;Denkirs;3499;;2099.00;1;Нет
927202;"Накладной светильник Denkirs DK5002-GY";"Накладной светильник";476803;DK5002-GY;Denkirs;1200;3499;2099.00;2;Нет
927203;"Встраиваемый светильник Denkirs DK5003-CE";"Встраиваемый светильник";476804;DK5003-CE;Denkirs;1200;3999;2399.00;2;Нет
927205;"Подсветка ступеней лестницы Denkirs DK5004-GY";"Подсветка ступеней лестницы";476806;DK5004-GY;Denkirs;3583;;2150.00;1;Нет
932022;"Накладной светильник Denkirs DK2035-WH";"Накладной светильник";513581;DK2035-WH;Denkirs;2499;;1499.00;1;Нет
983238;"Встраиваемый светильник Denkirs DK3020-WH";"Встраиваемый светильник";529034;DK3020-WH;Denkirs;725;;405.00;8292;Нет
983239;"Встраиваемый светильник Denkirs DK3020-BK";"Встраиваемый светильник";529035;DK3020-BK;Denkirs;725;;405.00;1327;Нет
983240;"Встраиваемый светильник Denkirs DK3021-BK";"Встраиваемый светильник";529037;DK3021-BK;Denkirs;725;;405.00;1341;Нет
983241;"Встраиваемый светильник Denkirs DK3021-WH";"Встраиваемый светильник";529036;DK3021-WH;Denkirs;725;;405.00;3653;Нет
983242;"Встраиваемый светильник Denkirs DK3022-BK";"Встраиваемый светильник";529039;DK3022-BK;Denkirs;1334;;746.00;1743;Нет
983243;"Встраиваемый светильник Denkirs DK3022-WH";"Встраиваемый светильник";529038;DK3022-WH;Denkirs;1334;;746.00;3152;Нет
983244;"Накладной светильник Denkirs DK3030-BK";"Накладной светильник";529041;DK3030-BK;Denkirs;910;1541;853.00;919;Нет
983245;"Накладной светильник Denkirs DK3030-WH";"Накладной светильник";529040;DK3030-WH;Denkirs;910;1541;853.00;928;Нет
983246;"Накладной светильник Denkirs DK3040-BK";"Накладной светильник";529043;DK3040-BK;Denkirs;1190;1739;959.00;1405;Нет
983247;"Накладной светильник Denkirs DK3040-WH";"Накладной светильник";529042;DK3040-WH;Denkirs;1190;1739;959.00;4456;Нет
988307;"Встраиваемый светильник Denkirs DK3020-CM";"Встраиваемый светильник";538892;DK3020-CM;Denkirs;725;;405.00;151;Нет
988308;"Встраиваемый светильник Denkirs DK3021-CM";"Встраиваемый светильник";538893;DK3021-CM;Denkirs;725;;405.00;1;Нет
988309;"Встраиваемый светильник Denkirs DK3022-CM";"Встраиваемый светильник";538894;DK3022-CM;Denkirs;1334;;746.00;75;Нет
988310;"Подсветка ступеней лестницы Denkirs DK3050-WH";"Подсветка ступеней лестницы";538897;DK3050-WH;Denkirs;990;1610;774.00;607;Нет
988311;"Монтажная коробка Denkirs DK3050-BX";"Монтажная коробка";539091;DK3050-BX;Denkirs;269;;149.00;613;Нет
988313;"Встраиваемый светильник Denkirs DK3026-WH";"Встраиваемый светильник";538896;DK3026-WH;Denkirs;809;;455.00;1434;Нет
988640;"Накладной светильник Denkirs DK2008-CO";"Накладной светильник";543320;DK2008-CO;Denkirs;549;690;414.00;1;Нет
991599;"Светильник на шине Denkirs DK6201-BK";"Светильник на шине";542389;DK6201-BK;Denkirs;1390;;714.00;2695;Нет
991600;"Светильник на шине Denkirs DK6202-BK";"Светильник на шине";542391;DK6202-BK;Denkirs;1830;;954.00;1840;Нет
994553;"Светильник на шине Denkirs DK6210-WH";"Светильник на шине";542387;DK6210-WH;Denkirs;2830;;1434.00;129;Нет
994554;"Светильник на шине Denkirs DK6201-WH";"Светильник на шине";542388;DK6201-WH;Denkirs;1390;;714.00;968;Нет
994555;"Светильник на шине Denkirs DK6202-WH";"Светильник на шине";542390;DK6202-WH;Denkirs;1830;;834.00;724;Нет
994556;"Светильник на шине Denkirs DK6203-WH";"Светильник на шине";542392;DK6203-WH;Denkirs;749;2499;1499.00;1;Нет
994559;"Светильник на шине Denkirs DK6210-BK";"Светильник на шине";542396;DK6210-BK;Denkirs;2830;;1434.00;76;Нет
997158;"Шинопровод Denkirs TR1001-BK";Шинопровод;542441;TR1001-BK;Denkirs;840;950;516.00;1176;Нет
997159;"Шинопровод Denkirs TR1002-BK";Шинопровод;542442;TR1002-BK;Denkirs;1810;;990.00;1595;Нет
